id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
29895,UH,Up Harwich,MAH,,4890.0,4894.0,Anglia - March 2026 Sectional Appendix.pdf,178,2026-04-28T02:36:03.297567
29896,DH,Down Harwich,MAH,EA1120,5442.0,5519.0,Anglia - March 2026 Sectional Appendix.pdf,180,2026-04-28T02:36:03.392132
29897,UH,Up Harwich,MAH,EA1120,5442.0,5519.0,Anglia - March 2026 Sectional Appendix.pdf,180,2026-04-28T02:36:03.392132
29898,TH,Through Siding,MAH,EA1120,5442.0,5519.0,Anglia - March 2026 Sectional Appendix.pdf,180,2026-04-28T02:36:03.392132
29899,TH,Through Siding,MAH,EA1120,5619.0,5661.0,Anglia - March 2026 Sectional Appendix.pdf,181,2026-04-28T02:36:03.473158
29900,UF,Up Fast,BGK,EA1160,225.0,244.0,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
29901,OF,Down Fast,BGK,EA1160,225.0,244.0,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
29902,USB,Up Suburban,BGK,EA1160,225.0,244.0,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
29903,DSB,Down Suburban,BGK,EA1160,225.0,244.0,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
29904,USY,Up Southbury,BGK,EA1160,225.0,244.0,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
29905,UC,Up Cambridge,BGK,EA1160,225.0,244.0,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
29906,UC,Up Cambridge,SDC,EA1160,358.0,394.0,Anglia - March 2026 Sectional Appendix.pdf,188,2026-04-28T02:36:04.985120
29907,UC,Up Cambridge,TSE,EA1160,441.0,480.0,Anglia - March 2026 Sectional Appendix.pdf,189,2026-04-28T02:36:05.062569
29908,UC,Up Cambridge,BGK,,945.0,1107.0,Anglia - March 2026 Sectional Appendix.pdf,191,2026-04-28T02:36:05.479279
