elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
CGJ6,1.0660,1m 30ch,1.066,Authorised Access Point '-' Vehicle,Coniston Avenue,352723.0,430996.0,53.77294,-2.71742
CGJ6,1.1065,1m 48ch,1.1065,Authorised Access Point '-' Pedestrian,"Lytham Road, Fulwood Bridge 22",352604.0,431369.0,53.77628,-2.71928
CGJ6,1.1637,1m 74ch,1.1637,Authorised Access Point '-' Pedestrian,BEACON GROVE,352525.0,431915.0,53.78118,-2.72056
CGJ6,2.0000,2m 00ch,2.0,Authorised Access Point '-' Vehicle,Boys Lane,352448.0,432124.0,53.78305,-2.72176
CGJ6,2.0615,2m 28ch,2.0615,Authorised Access Point '-' Pedestrian,Nine Elms up,352379.0,432547.0,53.78685,-2.72288
CGJ6,3.0010,3m 00ch,3.001,Authorised Access Point '-' Pedestrian,LIGHTFOOT LANE,352134.0,433575.0,53.79606,-2.72676
CGJ6,3.0837,3m 38ch,3.0837,Authorised Access Point '-' Pedestrian,SANDYGATE LANE,351938.0,434321.0,53.80275,-2.72985
CGJ6,3.1738,3m 79ch,3.1738,Authorised Access Point '-' Pedestrian,NEWSHAM HALL LANE,351708.0,435107.0,53.80979,-2.73346
CGJ6,4.0930,4m 42ch,4.093,Authorised Access Point '-' Vehicle,Barton Loop,351550.0,435955.0,53.8174,-2.736
CGJ6,4.1298,4m 59ch,4.1298,Authorised Access Point '-' Vehicle,MARTIN EDWARDS YARD,351528.0,436282.0,53.82034,-2.73638
CGJ6,6.1652,6m 75ch,6.1652,Authorised Access Point '-' Pedestrian,BILSBORROW LANE,351343.0,438183.0,53.83741,-2.73949
CGJ6,8.0216,8m 10ch,8.0216,Authorised Access Point '-' Pedestrian,BADGER O/B,351094.0,441736.0,53.86932,-2.74384
CGJ6,8.1590,8m 72ch,8.159,Authorised Access Point '-' Pedestrian,BADGER U/B,351008.0,442953.0,53.88025,-2.74535
CGJ6,9.0668,9m 30ch,9.0668,Authorised Access Point '-' Vehicle,CATTERALL YARD,350928.0,443790.0,53.88777,-2.7467
