page,elrs,lor,line_of_route_description,n_lines,duplicate_rows,abbreviations,problem
634,"HXS3, WBS3",NW6009,Windsor Bridge North Jn to Southport,9,9,"DSpt, DW, NOTE, P3, P4, P5, P6, USpt, UW",junk entries - parsing artifacts
640,"WKL1, WKL2",NW6015,Wigan Wallgate to Headbolt Lane,4,4,"DL, P1, P2, UL",multi-ELR duplication - needs diagram review
662,"MVE1, MVM",NW7001,Manchester Victoria West Jn to Hebden Bridge,6,6,"DRS, Deal, F5, ORF, URF, URS",multi-ELR duplication - needs diagram review
663,"MPR1, MVM",NW7001,Manchester Victoria West Jn to Hebden Bridge,7,7,"DR, DRF, DRS, NOTE, UR, URF, URS",junk entries - parsing artifacts
664,"MPR1, MVN2",NW7001,Manchester Victoria West Jn to Hebden Bridge,8,8,"DB, DG, DPL, DR, GMC, UB, UPL, UR",multi-ELR duplication - needs diagram review
675,"CEH, CPL1, CPL2, CSD",NW7005,Castleton East Jn. to Hopwood G.F.,6,18,"CEH, CPl1, CPl2, East, U&D TS, U&DG",junk entries - parsing artifacts
682,"FHR1, FHR2",NW7009,Farington Curve Jn. to Hall Royd Jn. (East Lanes lines),2,2,"DEL, UEL",lines genuinely span both ELRs - no fix needed
683,"FHR3, FHR4",NW7009,Farington Curve Jn. to Hall Royd Jn. (East Lanes lines),2,2,"DEL, UEL",lines genuinely span both ELRs - no fix needed
686,"FHR4, FHR5",NW7009,Farington Curve Jn to Hall Royd Jn (East Lanes lines),13,13,"AS, BBS3, BBS4, DEL, FHR4, FHR5, KSS, OS, P1, P2, P3, P4, UEL",junk entries - parsing artifacts
689,"FHR5, FHR6",NW7009,Farington Curve Jn. to Hall Royd Jn. (East Lanes lines),2,2,"DEL, UEL",lines genuinely span both ELRs - no fix needed
695,"DJH, HOK",NW7013,Daisyfield Jn to Hellifield,4,4,"OM, P1, P2, UM",multi-ELR duplication - needs diagram review
704,"MVL1, MVM",NW7021,Miles Platting Jn to Marsden,16,16,"ARR/DEP, DA, DAb, DB, DR, DRS, For, NOTE, OF, ORF, UA, UAb, UB, UR, URF, URS",junk entries - parsing artifacts
707,"MVL1, MVL2, MVL3",NW7021,Miles Platting Jn to Marsden,10,20,"DA, DH, P1, P2, P3, P4, P5, U&D ML, UA, UH",multi-ELR duplication - needs diagram review
713,"PPA1, PPA2, PPA3",NW7025,Philips Park West Jn to Ashburys West Jn,2,4,"Arr / Dep, Ash RS",lines genuinely span both ELRs - no fix needed
715,"PPP1, PPP2",NW7027,Baguley Fold Jn to Philips Park South Jn,1,1,NOTE,junk entries - parsing artifacts
