id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
15907,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1090,52m 65ch,4225,53m 14ch,4254,Anglia - March 2026 Sectional Appendix.pdf,168,2026-04-28T02:36:02.227739
15908,Colchester SB,CO,,TCB,Romford,AC,CTH,EA1090,53m 36ch,4276,55m 25ch,4425,Anglia - March 2026 Sectional Appendix.pdf,169,2026-04-28T02:36:02.359695
15909,Colchester SB,CO,,TCB,Romford,AC,COG,EA1090,56m 00ch,4480,59m 41ch,4761,Anglia - March 2026 Sectional Appendix.pdf,170,2026-04-28T02:36:02.470282
15910,Colchester SB,CO,,TCB,Romford,AC,COG,EA1090,59m 74ch,4794,63m 25ch,5065,Anglia - March 2026 Sectional Appendix.pdf,171,2026-04-28T02:36:02.551009
15911,Colchester SB (C,,,TCB,Romford,AC,TWN,EA1090,64m 54ch,5174,65m 19ch,5219,Anglia - March 2026 Sectional Appendix.pdf,172,2026-04-28T02:36:02.623126
15912,Colchester SB,CO,,TCB,Romford,AC,,EA1090,67m 22ch,5382,69m 56ch,5576,Anglia - March 2026 Sectional Appendix.pdf,173,2026-04-28T02:36:02.694905
15913,Colchester SB,CO,,TCB,Romford,AC,COC,EA1100,0m 22ch,22,53m 76ch,4316,Anglia - March 2026 Sectional Appendix.pdf,174,2026-04-28T02:36:02.715710
15914,Colchester SB,CO,,TCB,Romford,AC,COC,EA1110,65m 19ch,5219,67m 56ch,5416,Anglia - March 2026 Sectional Appendix.pdf,175,2026-04-28T02:36:02.797826
15915,TC6 ColGhester SB,CO,,,Romford,AC,TWN,EA111,68m 66ch,5506,70m 15ch,5615,Anglia - March 2026 Sectional Appendix.pdf,176,2026-04-28T02:36:03.150347
15916,Colchester SB,CO,,TCB,Romford,AC,LTN1,EA1120,0m 00ch,0,59m 67ch,4787,Anglia - March 2026 Sectional Appendix.pdf,177,2026-04-28T02:36:03.231431
