id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
17163,Gaerwen SB,GN,,,,,CNH3,NW3001,249m 28ch,19948,254m 34ch,20354,London North Western (North) Sectional Appendix March 2026.pdf,322,2026-04-28T02:40:38.100157
17164,Gaerwen SB,GN,,,,,CNH3,NW3001,256m 04ch,20484,260m 57ch,20857,London North Western (North) Sectional Appendix March 2026.pdf,323,2026-04-28T02:40:38.177934
17165,Holyhead SB,HD,,,,,CNH3,NW3001,263m 26ch,21066,263m 52ch,21092,London North Western (North) Sectional Appendix March 2026.pdf,324,2026-04-28T02:40:38.267884
17166,Chester PSB,CR,Chester Panel,TCB,,,CHW1,NW3003,0m 24ch,24,0m 24ch,24,London North Western (North) Sectional Appendix March 2026.pdf,325,2026-04-28T02:40:38.345247
17167,Che st e r P S B ( C R ),,,TCB,,,CHW1,NW3003,2m 50ch,210,2m 63ch,223,London North Western (North) Sectional Appendix March 2026.pdf,326,2026-04-28T02:40:38.426835
17168,Mickle Trafford SB,MT,,,,,CHW1,NW3003,7m 28ch,588,7m 39ch,599,London North Western (North) Sectional Appendix March 2026.pdf,327,2026-04-28T02:40:38.507965
17169,Frodsham Junction SB,FJ,,AB,,,CHW1,,9m 68ch,788,11m 31ch,911,London North Western (North) Sectional Appendix March 2026.pdf,328,2026-04-28T02:40:38.588677
17170,Frodsham Junction SB,FJ,,TCB,,,CHW1,NW3003,11m 51ch,931,14m 06ch,1126,London North Western (North) Sectional Appendix March 2026.pdf,329,2026-04-28T02:40:38.678503
17171,Warrington PSB,WN,South Panel,TCB,Crewe,AC,CHW1,NW3003,16m 04ch,1284,16m 19ch,1299,London North Western (North) Sectional Appendix March 2026.pdf,330,2026-04-28T02:40:38.764784
17172,Croes Newydd North Fork SB,CN,,AB,,,WSJ2,,189m 56ch,15176,192m 76ch,15436,London North Western (North) Sectional Appendix March 2026.pdf,331,2026-04-28T02:40:38.844230
17173,Croes Newydd North Fork SB 1n,,,AB,,,WSJ2,,193m 24ch,15464,201m 17ch,16097,London North Western (North) Sectional Appendix March 2026.pdf,332,2026-04-28T02:40:38.923963
17174,Croes Newydd North Fork SB,CN,,,,,WDB1,,201m 43ch,16123,202m 40ch,16200,London North Western (North) Sectional Appendix March 2026.pdf,333,2026-04-28T02:40:39.021412
17175,Chester SB,CR,,,,,WSJ2,,203m 60ch,16300,209m 51ch,16771,London North Western (North) Sectional Appendix March 2026.pdf,334,2026-04-28T02:40:39.106493
17176,Chester SB,CR,,,,,WSJ2,,209m 67ch,16787,212m 06ch,16966,London North Western (North) Sectional Appendix March 2026.pdf,335,2026-04-28T02:40:39.172995
17177,RA5 Fork SB,CN,,,,,WDB1,NW3007,0m 16ch,16,4m 08ch,328,London North Western (North) Sectional Appendix March 2026.pdf,337,2026-04-28T02:40:39.246047
17178,Croes Newydd North Fork SB,CN,,AB,,,WDB1,NW3007,4m 20ch,340,7m 67ch,627,London North Western (North) Sectional Appendix March 2026.pdf,338,2026-04-28T02:40:39.321655
17179,Penyffordd SB,PD,,,,,WDB1,NW3007,8m 08ch,648,14m 12ch,1132,London North Western (North) Sectional Appendix March 2026.pdf,339,2026-04-28T02:40:39.399690
17180,Dee Marsh Jn SB,DM,,,,,WDB3,NW3007,13m 77ch,1117,13m 77ch,1117,London North Western (North) Sectional Appendix March 2026.pdf,340,2026-04-28T02:40:39.471047
17181,Dee Marsh Junction SB,DM,,TCB,,,WDB3,NW3007,4m 32ch,352,11m 74ch,954,London North Western (North) Sectional Appendix March 2026.pdf,341,2026-04-28T02:40:39.544471
17182,Merseyrail S.C.C.,ML,,TCB,Sandhills,DC,WDB3,NW3007,0m 08ch,8,4m 75ch,395,London North Western (North) Sectional Appendix March 2026.pdf,342,2026-04-28T02:40:39.613899
17183,Chester SB,CR,,,,,CVS,NW3009,0m 00ch,0,0m 25ch,25,London North Western (North) Sectional Appendix March 2026.pdf,343,2026-04-28T02:40:39.697065
17184,Chester SB,CR,,TCB,Sandhills,DC,CRR1,NW3011,0m 36ch,36,179m 30ch,14350,London North Western (North) Sectional Appendix March 2026.pdf,344,2026-04-28T02:40:39.774710
17185,Chester SB,CR,,TCB,Sandhills,DC,CRR1,NW3011,0m 79ch,79,7m 68ch,628,London North Western (North) Sectional Appendix March 2026.pdf,345,2026-04-28T02:40:39.857862
17186,Chester PSB,HN,,TCB,Sandhills,DC,HHJ,,1m 47ch,127,7m 68ch,628,London North Western (North) Sectional Appendix March 2026.pdf,346,2026-04-28T02:40:39.936979
17187,Ellesmere Port SB,EP,,TCB,Sandhills,DC,HHJ,NW3013,3m 44ch,284,3m 70ch,310,London North Western (North) Sectional Appendix March 2026.pdf,347,2026-04-28T02:40:40.032951
17188,Ellesmere Port SB,EP,,,,,HHJ,NW3013,5m 67ch,467,5m 67ch,467,London North Western (North) Sectional Appendix March 2026.pdf,348,2026-04-28T02:40:40.106076
17189,Helsby Junction SB,HY,,,,,HHJ,NW3013,6m 66ch,546,8m 67ch,707,London North Western (North) Sectional Appendix March 2026.pdf,349,2026-04-28T02:40:40.187824
17190,Llandudno Jn SB,LJ,,,,,LJT1,NW3015,0m 55ch,55,223m 12ch,17852,London North Western (North) Sectional Appendix March 2026.pdf,350,2026-04-28T02:40:40.275002
17191,Llanrwst SB,LT,,,,,LJT1,NW3015,6m 15ch,495,10m 31ch,831,London North Western (North) Sectional Appendix March 2026.pdf,351,2026-04-28T02:40:40.353890
17192,Llanrwst SB,LT,,,,,LJT1,,11m 05ch,885,15m 02ch,1202,London North Western (North) Sectional Appendix March 2026.pdf,352,2026-04-28T02:40:40.442832
17193,Llanrwst SB,LT,,,,,LJT1,,16m 14ch,1294,22m 55ch,1815,London North Western (North) Sectional Appendix March 2026.pdf,353,2026-04-28T02:40:40.523510
17194,Llanrwst SB,LT,,,,,LJT1,NW3015,24m 33ch,1953,27m 53ch,2213,London North Western (North) Sectional Appendix March 2026.pdf,354,2026-04-28T02:40:40.608173
17195,Llandudno Jn SB,LJ,,,,,,,1m 01ch,81,223m 55ch,17895,London North Western (North) Sectional Appendix March 2026.pdf,355,2026-04-28T02:40:40.627425
17196,Llandudno Station SB,LO,,AB,,,LLJ,NW3017,3m 00ch,240,3m 14ch,254,London North Western (North) Sectional Appendix March 2026.pdf,356,2026-04-28T02:40:40.703370
17197,Frodsham Jn SB,FJ,,,Crewe,AC,FJH,NW3021,0m 00ch,0,1m 53ch,133,London North Western (North) Sectional Appendix March 2026.pdf,358,2026-04-28T02:40:40.791839
17198,with Direction Levers applies,,,AB,Crewe,AC,EJN,NW3023,0m 04ch,4,182m 59ch,14619,London North Western (North) Sectional Appendix March 2026.pdf,359,2026-04-28T02:40:40.818173
17199,Northenden Junction SB,NJ,,,,,SJD,NW3023,3m 68ch,308,33m 49ch,2689,London North Western (North) Sectional Appendix March 2026.pdf,360,2026-04-28T02:40:40.902160
17200,Deansgate Jn SB,DJ,,,Trafford Depot,DC,CDM1,NW3023,0m 33ch,33,7m 30ch,590,London North Western (North) Sectional Appendix March 2026.pdf,361,2026-04-28T02:40:40.923735
17201,Deansgate Jn SB,DJ,,,Trafford Depot,DC,CDM2,NW3023,7m 74ch,634,7m 74ch,634,London North Western (North) Sectional Appendix March 2026.pdf,362,2026-04-28T02:40:40.952342
17202,Deansgate Junction SB,DJ,,,,,CDM2,NW3023,8m 31ch,671,12m 68ch,1028,London North Western (North) Sectional Appendix March 2026.pdf,363,2026-04-28T02:40:41.049653
17203,applies between Mobberley box,MY,,AB,,,CDM2,NW3023,14m 40ch,1160,18m 43ch,1483,London North Western (North) Sectional Appendix March 2026.pdf,364,2026-04-28T02:40:41.129952
17204,Green bank SB,GK,,,,,CDM2,NW3023,19m 15ch,1535,19m 77ch,1597,London North Western (North) Sectional Appendix March 2026.pdf,365,2026-04-28T02:40:41.223537
17205,Green bank SB,GK,,,,,CDM2,NW3023,20m 47ch,1647,20m 76ch,1676,London North Western (North) Sectional Appendix March 2026.pdf,366,2026-04-28T02:40:41.315252
17206,Mickle Trafford SB,MT,,,,,CDM2,NW3023,30m 60ch,2460,31m 02ch,2482,London North Western (North) Sectional Appendix March 2026.pdf,369,2026-04-28T02:40:41.574642
17207,Mickle Trafford SB,MT,,,,,CDM2,NW3023,32m 64ch,2624,35m 40ch,2840,London North Western (North) Sectional Appendix March 2026.pdf,370,2026-04-28T02:40:41.657450
17208,Deansgate Jn SB,DJ,,,,,WJP,,27m 20ch,2180,30m 12ch,2412,London North Western (North) Sectional Appendix March 2026.pdf,371,2026-04-28T02:40:41.674895
17209,(Metrolink),,,TCB,Trafford Depot,DC,CDM1,,6m 55ch,535,6m 77ch,557,London North Western (North) Sectional Appendix March 2026.pdf,372,2026-04-28T02:40:41.745972
17210,Deansgate Jn SB,DJ,,TCB,Trafford Depot,DC,CDM1,,0m 33ch,33,7m 30ch,590,London North Western (North) Sectional Appendix March 2026.pdf,373,2026-04-28T02:40:41.821233
17211,Deansgate Jn SB,DJ,,TCB,Trafford Depot,DC,CDM1,,7m 74ch,634,7m 74ch,634,London North Western (North) Sectional Appendix March 2026.pdf,374,2026-04-28T02:40:41.894819
17212,Green bank SB,GK,,,,,HEG,,21m 67ch,1747,22m 10ch,1770,London North Western (North) Sectional Appendix March 2026.pdf,380,2026-04-28T02:40:42.320453
17213,Greenbank SB,GK,,,,,HNO,,0m 11ch,11,0m 74ch,74,London North Western (North) Sectional Appendix March 2026.pdf,381,2026-04-28T02:40:42.410079
17214,Greenbank SB,GK,,,Crewe,AC,CGJ1,,0m 44ch,44,170m 56ch,13656,London North Western (North) Sectional Appendix March 2026.pdf,382,2026-04-28T02:40:42.479056
17215,Preston PSB,PN,'C' Panel,TCB,Crewe,AC,CGJ5,NW4001,21m 13ch,1693,21m 13ch,1693,London North Western (North) Sectional Appendix March 2026.pdf,414,2026-04-28T02:40:43.455603
17216,Preston PSB,PN,'C' Panel,TCB,Crewe,AC,CGJ6,NW4001,21m 39ch,1719,21m 57ch,1737,London North Western (North) Sectional Appendix March 2026.pdf,415,2026-04-28T02:40:43.571802
17217,Preston PSB,PN,,TCB,Crewe,AC,CGJ6,NW4001,0m 21ch,21,0m 41ch,41,London North Western (North) Sectional Appendix March 2026.pdf,416,2026-04-28T02:40:43.655271
17218,Preston PSB,PN,'C' Panel,TCB,Crewe,AC,CGJ6,NW4001,9m 07ch,727,9m 07ch,727,London North Western (North) Sectional Appendix March 2026.pdf,417,2026-04-28T02:40:43.734078
17219,Preston PSB,PN,'O'Panel,TCB,Crewe,AC,CGJ6,NW4001,9m 28ch,748,17m 77ch,1437,London North Western (North) Sectional Appendix March 2026.pdf,418,2026-04-28T02:40:43.823384
17220,Preston PSB,PN,'D'Panel,TCB,Crewe,AC,CGJ7,NW4001,0m 23ch,23,21m 00ch,1680,London North Western (North) Sectional Appendix March 2026.pdf,419,2026-04-28T02:40:43.905660
17221,Preston P S B ( P N ),,,TCB,Crewe,AC,CGJ7,NW4001,1m 72ch,152,5m 56ch,456,London North Western (North) Sectional Appendix March 2026.pdf,420,2026-04-28T02:40:44.007989
17222,Preston PSB,PN,'D' Panel,TCB,Crewe,AC,CBC1,NW4001,5m 78ch,478,13m 32ch,1072,London North Western (North) Sectional Appendix March 2026.pdf,421,2026-04-28T02:40:44.091127
17223,Carlisle PSB,CE,,TCB,Crewe,AC,CGJ7,NW4001,18m 42ch,1482,19m 11ch,1531,London North Western (North) Sectional Appendix March 2026.pdf,422,2026-04-28T02:40:44.180288
17224,Carlisle PSB,CE,,TCB,Crewe,AC,CGJ7,NW4001,26m 11ch,2091,26m 36ch,2116,London North Western (North) Sectional Appendix March 2026.pdf,423,2026-04-28T02:40:44.260474
17225,Carlisle PSB,CE,,TCB,Crewe,AC,CGJ7,NW4001,31m 60ch,2540,37m 50ch,3010,London North Western (North) Sectional Appendix March 2026.pdf,424,2026-04-28T02:40:44.287022
17226,Carlisle PSB,CE,South Panel,TCB,Crewe,AC,CGJ7,NW4001,37m 68ch,3028,39m 09ch,3129,London North Western (North) Sectional Appendix March 2026.pdf,425,2026-04-28T02:40:44.372054
17227,Carlisle PSB,CE,,TCB,Crewe,AC,CGJ7,NW4001,41m 23ch,3303,46m 74ch,3754,London North Western (North) Sectional Appendix March 2026.pdf,426,2026-04-28T02:40:44.447604
17228,Carlisle PSB,CE,,TCB,Cathcart,AC,CGJ7,NW4001,47m 23ch,3783,51m 56ch,4136,London North Western (North) Sectional Appendix March 2026.pdf,427,2026-04-28T02:40:44.527963
17229,Carlisle SB,CE,,TCB,Cathcart,AC,UCJ,NW4001,67m 58ch,5418,67m 70ch,5430,London North Western (North) Sectional Appendix March 2026.pdf,429,2026-04-28T02:40:44.696266
17230,Carlisle PSB,CE,,TCB,Cathcart,AC,CGJ7,NW4001,68m 23ch,5463,68m 38ch,5478,London North Western (North) Sectional Appendix March 2026.pdf,430,2026-04-28T02:40:44.782809
17231,Carlisle PSB,CE,,TCB,Cathcart,AC,WCM1,NW4001,0m 19ch,19,69m 09ch,5529,London North Western (North) Sectional Appendix March 2026.pdf,431,2026-04-28T02:40:44.878022
17232,Carlisle PSB,CE,North Panel,TCB,Cathcart,AC,WCM1,NW4001,0m 53ch,53,1m 53ch,133,London North Western (North) Sectional Appendix March 2026.pdf,432,2026-04-28T02:40:44.984300
17233,Carlisle PSB,CE,North Panel,TCB,Cathcart,AC,KMG1,NW4001,,,,,London North Western (North) Sectional Appendix March 2026.pdf,433,2026-04-28T02:40:45.070176
17234,Carlisle PSB,CE,North Panel,TCB,Cathcart,AC,KMG2,NW4001,,,,,London North Western (North) Sectional Appendix March 2026.pdf,434,2026-04-28T02:40:45.156598
17235,Carlisle PSB,CE,NorthPanel,TCB,Cathcart,AC,KMG2,NW4001,6m 06ch,486,7m 45ch,605,London North Western (North) Sectional Appendix March 2026.pdf,435,2026-04-28T02:40:45.236622
17236,Carlisle PSB,CE,North Panel,TCB,Cathcart,AC,WCM1,NW4001,8m 58ch,698,13m 20ch,1060,London North Western (North) Sectional Appendix March 2026.pdf,436,2026-04-28T02:40:45.316805
17237,Preston PSB,PN,,TCB,Crewe,AC,PBN,NW4005,0m 33ch,33,5m 17ch,417,London North Western (North) Sectional Appendix March 2026.pdf,438,2026-04-28T02:40:45.475018
17238,Manchester ROC,,,TCB,Crewe,AC,PBN,NW4005,7m 40ch,600,8m 27ch,667,London North Western (North) Sectional Appendix March 2026.pdf,439,2026-04-28T02:40:45.560434
17239,Manchester ROC,,,TCB,Crewe,AC,PBN,,14m 31ch,1151,16m 32ch,1312,London North Western (North) Sectional Appendix March 2026.pdf,440,2026-04-28T02:40:45.640974
17240,Manchester ROC,,,TCB,Crewe,AC,PBN,,16m 68ch,1348,17m 49ch,1409,London North Western (North) Sectional Appendix March 2026.pdf,441,2026-04-28T02:40:45.727975
17241,Manchester ROC,,,TCB,Crewe,AC,KBS1,NW4007,7m 40ch,600,8m 27ch,667,London North Western (North) Sectional Appendix March 2026.pdf,443,2026-04-28T02:40:45.824069
17242,Manchester ROC,,,TCB,,,KBS1,,8m 60ch,700,11m 14ch,894,London North Western (North) Sectional Appendix March 2026.pdf,444,2026-04-28T02:40:45.901234
17243,Manchester ROC,,,TCB,,,KBS1,NW4007,12m 03ch,963,20m 00ch,1600,London North Western (North) Sectional Appendix March 2026.pdf,445,2026-04-28T02:40:45.984633
17244,Preston SB,PN,,,,,MSM,NW4011,0m 00ch,0,0m 59ch,59,London North Western (North) Sectional Appendix March 2026.pdf,449,2026-04-28T02:40:46.159261
17245,Both lines controlled from Preston SB,PN,,,,,MSM,NW4011,1m 70ch,150,2m 17ch,177,London North Western (North) Sectional Appendix March 2026.pdf,450,2026-04-28T02:40:46.363348
17246,Preston PSB,PN,'D'Panel,TCB,Crewe,AC,HBL,NW4013,0m 00ch,0,1m 30ch,110,London North Western (North) Sectional Appendix March 2026.pdf,452,2026-04-28T02:40:46.455583
17247,Carlisle PSB,CE,,TCB,Cathcart,AC,UCJ,NW4021,0m 38ch,38,0m 38ch,38,London North Western (North) Sectional Appendix March 2026.pdf,458,2026-04-28T02:40:46.866217
17248,Carlisle PSB,CE,,TCB,Cathcart,AC,UCJ,NW4021,0m 61ch,61,1m 31ch,111,London North Western (North) Sectional Appendix March 2026.pdf,459,2026-04-28T02:40:46.926787
17249,Carlisle PSB,CE,,TCB,,,ULR,NW4023,0m 14ch,14,0m 40ch,40,London North Western (North) Sectional Appendix March 2026.pdf,460,2026-04-28T02:40:47.003598
17250,Carlisle PSB,CE,,TCB,Cathcart,AC,MCG,,0m 44ch,44,26m 74ch,2154,London North Western (North) Sectional Appendix March 2026.pdf,461,2026-04-28T02:40:47.082900
17251,Dumfries Station SB,"DS , DE",,,,,GSW,NW4031,115m 16ch,9216,116m 14ch,9294,London North Western (North) Sectional Appendix March 2026.pdf,464,2026-04-28T02:40:47.286496
17252,Preston PSB,PN,'D'Panel,TCB,Crewe,AC,CBC1,NW4033,0m 30ch,30,6m 08ch,488,London North Western (North) Sectional Appendix March 2026.pdf,465,2026-04-28T02:40:47.398410
17253,from 1m 25ch on the Up Main line).,,,TCB,Crewe,AC,SJC,NW4033,0m 52ch,52,0m 71ch,71,London North Western (North) Sectional Appendix March 2026.pdf,466,2026-04-28T02:40:47.490102
17254,Carnforth Station Junction SB,CS,,AB,,,CBC1,NW4033,3m 11ch,251,5m 68ch,468,London North Western (North) Sectional Appendix March 2026.pdf,467,2026-04-28T02:40:47.584063
17255,Arnside SB,AE,,,,,CBC1,NW4033,6m 21ch,501,9m 43ch,763,London North Western (North) Sectional Appendix March 2026.pdf,468,2026-04-28T02:40:47.667441
17256,Grange-over-Sands SB,GS,,,,,CBC1,NW4033,10m 20ch,820,12m 42ch,1002,London North Western (North) Sectional Appendix March 2026.pdf,469,2026-04-28T02:40:47.742758
17257,Grange-over-Sands SB,GS,,,,,CBC1,NW4033,13m 59ch,1099,18m 43ch,1483,London North Western (North) Sectional Appendix March 2026.pdf,470,2026-04-28T02:40:47.817067
17258,Ulverston SB,UN,,,,,CBC1,NW4033,19m 25ch,1545,22m 73ch,1833,London North Western (North) Sectional Appendix March 2026.pdf,471,2026-04-28T02:40:47.908990
17259,Dalton Junction SB,DJ,,,,,CBC1,NW4033,23m 67ch,1907,26m 08ch,2088,London North Western (North) Sectional Appendix March 2026.pdf,472,2026-04-28T02:40:47.992014
17260,Barrow-in-Furness SB,BF,,,,,RDK1,NW4033,27m 13ch,2173,28m 10ch,2250,London North Western (North) Sectional Appendix March 2026.pdf,473,2026-04-28T02:40:48.078726
17261,Park South SB,PS,,,,,CBC1,NW4033,31m 44ch,2524,33m 46ch,2686,London North Western (North) Sectional Appendix March 2026.pdf,475,2026-04-28T02:40:48.234324
17262,Askam SB,AM,,,,,CBC1,,35m 03ch,2803,38m 46ch,3086,London North Western (North) Sectional Appendix March 2026.pdf,476,2026-04-28T02:40:48.333179
17263,Foxfield SB,FD,,,,,CBC1,NW4033,38m 59ch,3099,42m 19ch,3379,London North Western (North) Sectional Appendix March 2026.pdf,477,2026-04-28T02:40:48.416788
17264,Millom SB,MM,,,,,CBC1,,42m 32ch,3392,44m 46ch,3566,London North Western (North) Sectional Appendix March 2026.pdf,478,2026-04-28T02:40:48.505884
17265,Silecroft SB,ST,,,,,CBC1,NW4033,45m 01ch,3601,46m 27ch,3707,London North Western (North) Sectional Appendix March 2026.pdf,479,2026-04-28T02:40:48.585161
17266,Silecroft SB,ST,,,,,CBC1,NW4033,50m 13ch,4013,55m 15ch,4415,London North Western (North) Sectional Appendix March 2026.pdf,481,2026-04-28T02:40:48.741419
17267,Drigg SB,DG,,,,,CBC1,NW4033,56m 58ch,4538,59m 25ch,4745,London North Western (North) Sectional Appendix March 2026.pdf,482,2026-04-28T02:40:48.821112
17268,Drigg SB,DG,,,,,CBC1,NW4033,59m 53ch,4773,63m 05ch,5045,London North Western (North) Sectional Appendix March 2026.pdf,483,2026-04-28T02:40:48.908876
17269,Sellafield SB,SD,,,,,CBC1,NW4033,64m 37ch,5157,67m 36ch,5396,London North Western (North) Sectional Appendix March 2026.pdf,485,2026-04-28T02:40:49.068658
17270,St Bees SB,SB,,,,,CBC1,NW4033,69m 59ch,5579,70m 22ch,5622,London North Western (North) Sectional Appendix March 2026.pdf,486,2026-04-28T02:40:49.143676
17271,Bransty SB,BY,,,,,CBC2,NW4033,0m 16ch,16,74m 72ch,5992,London North Western (North) Sectional Appendix March 2026.pdf,487,2026-04-28T02:40:49.234415
17272,Bransty SB,BY,,,,,CBC2,NW4033,1m 72ch,152,4m 48ch,368,London North Western (North) Sectional Appendix March 2026.pdf,488,2026-04-28T02:40:49.312191
17273,Maryport Station SB,MS,,,,,CBC3,,0m 04ch,4,12m 04ch,964,London North Western (North) Sectional Appendix March 2026.pdf,491,2026-04-28T02:40:49.595677
17274,Maryport Station SB,MS,,,,,CBC3,NW4033,1m 20ch,100,8m 37ch,677,London North Western (North) Sectional Appendix March 2026.pdf,492,2026-04-28T02:40:49.730012
17275,Maryport Station SB,MS,,,,,CBC3,NW4033,9m 76ch,796,16m 20ch,1300,London North Western (North) Sectional Appendix March 2026.pdf,493,2026-04-28T02:40:49.826131
17276,Park South SB,PS,,,,,OAP,NW4041,0m 00ch,0,3m 03ch,243,London North Western (North) Sectional Appendix March 2026.pdf,497,2026-04-28T02:40:50.192033
17277,Manchester South S.C.C.,MS,,TCB,Crewe,AC,CMP1,NW5001,170m 26ch,13626,172m 46ch,13806,London North Western (North) Sectional Appendix March 2026.pdf,527,2026-04-28T02:40:52.192636
17278,Manchester South S.C.C.,MS,,TCB,Crewe,AC,CMP2,NW5001,181m 08ch,14488,182m 36ch,14596,London North Western (North) Sectional Appendix March 2026.pdf,531,2026-04-28T02:40:52.629881
17279,Edgeley Junction No.2 SB (EY2),,,AB,Crewe,AC,CMP2,NW5001,182m 50ch,14610,183m 12ch,14652,London North Western (North) Sectional Appendix March 2026.pdf,532,2026-04-28T02:40:52.739489
17280,Heaton Norris Junction SB,HN,,AB,Crewe,AC,CMP2,NW5001,183m 37ch,14677,186m 01ch,14881,London North Western (North) Sectional Appendix March 2026.pdf,533,2026-04-28T02:40:52.846789
17281,Manchester Piccadilly S.C.C.,MP,Longsight Panel,TCB,Crewe,AC,CMP2,NW5001,186m 46ch,14926,186m 77ch,14957,London North Western (North) Sectional Appendix March 2026.pdf,534,2026-04-28T02:40:52.930392
17282,Manchester Piccadilly S.C.C.,MP,Longsight Panel,TCB,Crewe,AC,LMD8,NW5001,187m 44ch,15004,187m 61ch,15021,London North Western (North) Sectional Appendix March 2026.pdf,535,2026-04-28T02:40:53.038315
17283,Manchester Piccadilly S.C.C.,MP,Station Panel,TCB,Crewe,AC,CMP2,NW5001,188m 08ch,15048,188m 08ch,15048,London North Western (North) Sectional Appendix March 2026.pdf,536,2026-04-28T02:40:53.128757
17284,Manchester Piccadilly S.C.C.,MP,Station Panel,TCB,Crewe,AC,CMP2,NW5001,188m 48ch,15088,188m 70ch,15110,London North Western (North) Sectional Appendix March 2026.pdf,537,2026-04-28T02:40:53.221499
17285,Manchester South S.C.C.,MS,,TCB,Crewe,AC,STY,,0m 18ch,18,176m 53ch,14133,London North Western (North) Sectional Appendix March 2026.pdf,539,2026-04-28T02:40:53.328994
17286,Manchester Piccadilly S.C.C.,MP,,TCB,Crewe,AC,SMA,,1m 10ch,90,2m 50ch,210,London North Western (North) Sectional Appendix March 2026.pdf,541,2026-04-28T02:40:53.490355
17287,Manchester Piccadilly S.C.C.,MP,Heald Green Panel,TCB,Crewe,AC,MIA,,0m 00ch,0,1m 46ch,126,London North Western (North) Sectional Appendix March 2026.pdf,542,2026-04-28T02:40:53.586082
17288,Rugby ROC,NS,Stafford Workstation,TCB,Crewe,AC,LEC6,NW5008,3m 72ch,312,138m 55ch,11095,London North Western (North) Sectional Appendix March 2026.pdf,543,2026-04-28T02:40:53.673353
17289,Rugby ROC,NS,South Workstation,TCB,Crewe,AC,NBS1,NW5008,0m 00ch,0,2m 51ch,211,London North Western (North) Sectional Appendix March 2026.pdf,544,2026-04-28T02:40:53.754598
17290,Rugby ROC,CM,,TCB,Crewe,AC,CMD2,NW5009,27m 64ch,2224,38m 45ch,3085,London North Western (North) Sectional Appendix March 2026.pdf,545,2026-04-28T02:40:53.851432
17291,Stoke-on-Trent S.C.C.,SOT,South Workstation,TCB,Crewe,AC,CMD2,NW5009,24m 49ch,1969,27m 64ch,2224,London North Western (North) Sectional Appendix March 2026.pdf,546,2026-04-28T02:40:53.935738
17292,Stoke-on-Trent S.C.C.,SOT,,TCB,Crewe,AC,CMD2,NW5009,20m 26ch,1626,24m 49ch,1969,London North Western (North) Sectional Appendix March 2026.pdf,547,2026-04-28T02:40:54.030809
17293,Stoke-on-Trent S.C.C.,SOT,North Workstation,TCB,Crewe,AC,CMD2,NW5009,19m 65ch,1585,20m 26ch,1626,London North Western (North) Sectional Appendix March 2026.pdf,548,2026-04-28T02:40:54.057109
17294,Stoke-on-Trent S.C.C.,SOT,,TCB,,,CMD2,NW5009,19m 18ch,1538,19m 65ch,1585,London North Western (North) Sectional Appendix March 2026.pdf,549,2026-04-28T02:40:54.160041
17295,Stoke-on-Trent S.C.C.,SOT,North Workstation,TCB,Crewe,AC,CMD2,NW5009,18m 13ch,1453,19m 18ch,1538,London North Western (North) Sectional Appendix March 2026.pdf,550,2026-04-28T02:40:54.237329
17296,Stoke-on-Trent S.C.C.,SOT,,TCB,Crewe,AC,CMD2,NW5009,16m 14ch,1294,18m 13ch,1453,London North Western (North) Sectional Appendix March 2026.pdf,551,2026-04-28T02:40:54.328382
17297,Stoke-on-Trent S.C.C.,SOT,North Workstation,TCB,Crewe,AC,CMD1,NW5009,13m 45ch,1085,14m 13ch,1133,London North Western (North) Sectional Appendix March 2026.pdf,552,2026-04-28T02:40:54.418726
17298,Manchester South S.C.C.,MS,,TCB,Crewe,AC,MCH,NW5009,0m 00ch,0,1m 49ch,129,London North Western (North) Sectional Appendix March 2026.pdf,557,2026-04-28T02:40:54.871860
17299,OTS Leek Brook Junction SB,LBJ,,,,,SCQ3,,0m 20ch,20,6m 65ch,545,London North Western (North) Sectional Appendix March 2026.pdf,560,2026-04-28T02:40:55.069034
17300,OTS Leek Brook Junction SB,LBJ,,,,,SCQ3,,1m 19ch,99,7m 53ch,613,London North Western (North) Sectional Appendix March 2026.pdf,561,2026-04-28T02:40:55.153444
17301,Heaton Norris Junction SB,HN,,TCB,Crewe,AC,HNS,NW5011,0m 62ch,62,183m 56ch,14696,London North Western (North) Sectional Appendix March 2026.pdf,563,2026-04-28T02:40:55.239274
17302,Denton Junction SB,DJ,,TCB,Crewe,AC,HNS,NW5011,1m 50ch,130,4m 70ch,390,London North Western (North) Sectional Appendix March 2026.pdf,564,2026-04-28T02:40:55.326014
17303,Stoke-on-Trent S.C.C.,SOT,North Workstation,TCB,,,NSS,,0m 00ch,0,1m 56ch,136,London North Western (North) Sectional Appendix March 2026.pdf,565,2026-04-28T02:40:55.400603
17304,Denton Junction SB,DJ,,,Crewe,AC,AMJ,NW5013,0m 02ch,2,4m 58ch,378,London North Western (North) Sectional Appendix March 2026.pdf,566,2026-04-28T02:40:55.510127
17305,Dinting SB,DG,,,Crewe,AC,HAJ,,11m 66ch,946,12m 61ch,1021,London North Western (North) Sectional Appendix March 2026.pdf,567,2026-04-28T02:40:55.599714
17306,Dinting SB,DG,,,Crewe,AC,HAJ,,6m 08ch,488,9m 60ch,780,London North Western (North) Sectional Appendix March 2026.pdf,568,2026-04-28T02:40:55.689842
